Date,삼성전자,SK하이닉스,LG에너지솔루션,삼성바이오로직스,삼성전자우,현대차,셀트리온,기아,KB금융,POSCO홀딩스,신한지주,NAVER,삼성물산,삼성SDI,LG화학,현대모비스,HD현대중공업,하나금융지주,삼성생명,카카오,삼성화재,포스코퓨처엠,LG전자,메리츠금융지주,한화에어로스페이스,HD한국조선해양,크래프톤,HMM,한국전력,LG,KT&G,SK텔레콤,삼성에스디에스,HD현대일렉트릭,삼성전기,두산에너빌리티,우리금융지주,기업은행,고려아연,한미반도체,카카오뱅크,SK스퀘어,SK,KT,SK이노베이션,삼성중공업,한화오션,KODEX CD금리액티브(합성),포스코인터내셔널,현대글로비스,하이브,대한항공,S-Oil,DB손해보험,아모레퍼시픽,유한양행,TIGER CD금리투자KIS(합성),SK바이오팜,HD현대,LG이노텍,현대차2우B,넷마블,KODEX 200,LG디스플레이,LG생활건강,에코프로머티,CJ제일제당,한국항공우주,맥쿼리인프라,삼성E&A,LS ELECTRIC,HD현대마린솔루션,현대로템,한국타이어앤테크놀로지,SKC,삼성카드,LIG넥스원,삼양식품,KODEX KOFR금리액티브(합성),NH투자증권,미래에셋증권,LG유플러스,현대오토에버,HD현대미포,SK바이오사이언스,두산로보틱스,한진칼,GS,포스코DX,TIGER 미국S&P500,코웨이,시프트업,한화솔루션,롯데케미칼,한국가스공사,현대차우,TIGER KOFR금리액티브(합성),한국금융지주,엔씨소프트,삼성증권
2013-01-02,31520.0,26600.0,,,17220.0,216000.0,38190.6953125,56300.0,38800.0,360500.0,40050.0,55770.328125,,152500.0,340000.0,287500.0,,36300.0,95600.0,18660.0,214000.0,12947.7529296875,77500.0,3767.55908203125,60900.0,162239.875,,140542.890625,31550.0,73498.1953125,78700.0,33902.578125,,,101000.0,36295.6640625,,11950.0,405000.0,1430.0,,,104500.0,35400.0,169534.46875,28523.05859375,246391.546875,,40100.0,110000.0,,31496.01171875,105500.0,44450.0,121000.0,23350.95703125,,,,86900.0,75400.0,,27130.0,29470.48828125,651000.0,,362000.0,26050.0,6630.0,167000.0,70400.0,,,47300.0,41700.0,36550.0,,24600.0,,12700.0,12750.0,7650.0,,64500.0,,,,75000.0,7842.7216796875,,43500.0,,20337.197265625,246486.984375,72154.0625,68200.0,,44700.0,154000.0,54901.6015625
2013-01-03,30860.0,26650.0,,,17200.0,206000.0,37612.046875,54600.0,39300.0,370000.0,40150.0,54176.890625,,155500.0,342500.0,272000.0,,36700.0,96500.0,18740.0,209000.0,13052.7861328125,78500.0,3800.6494140625,59000.0,162239.875,,133238.171875,31600.0,74375.7890625,77000.0,33789.94140625,,,100000.0,38670.51953125,,12000.0,406500.0,1484.0,,,107000.0,35800.0,172375.828125,28449.259765625,247260.65625,,41950.0,102750.0,,32037.87890625,105500.0,43800.0,121300.0,23757.0625,,,,87900.0,72500.0,,27035.0,29610.82421875,643000.0,,369000.0,25650.0,6790.0,170500.0,69700.0,,,44400.0,42950.0,37400.0,,24850.0,,12700.0,12850.0,7540.0,,64500.0,,,,75700.0,7616.9609375,,44750.0,,21464.05859375,249364.265625,71184.25,64500.0,,45000.0,155000.0,55389.18359375
2013-01-04,30500.0,26350.0,,,16920.0,206000.0,38046.03125,53600.0,39150.0,367000.0,40100.0,55525.18359375,,157000.0,331000.0,261000.0,,36550.0,97500.0,19980.0,214000.0,13081.431640625,78700.0,3791.195068359375,58200.0,158975.484375,,131777.21875,31300.0,73717.59375,76200.0,34578.375,,,99000.0,38868.421875,,11900.0,378000.0,1486.0,,,107000.0,36500.0,172375.828125,28264.763671875,243349.671875,,41400.0,105250.0,,32782.9453125,105000.0,43600.0,123500.0,24569.26953125,,,,87800.0,73100.0,,26870.0,28862.3671875,646000.0,,375000.0,25750.0,6750.0,172500.0,68800.0,,,44500.0,42600.0,37800.0,,25700.0,,12450.0,12550.0,7690.0,,63500.0,,,,74800.0,7872.16845703125,,44700.0,,21786.01953125,244089.25,70408.3984375,66200.0,,45150.0,158500.0,54901.6015625
2013-01-07,30400.0,25900.0,,,17200.0,208500.0,37684.37890625,54000.0,39850.0,369000.0,40300.0,58834.62890625,,153500.0,325500.0,263500.0,,36800.0,97200.0,20740.0,216000.0,13167.3681640625,78700.0,3876.2841796875,57600.0,157669.734375,,132069.40625,30800.0,74156.390625,77800.0,35141.54296875,,,100500.0,38947.5859375,,12050.0,383500.0,1480.0,,,106000.0,36800.0,169060.90625,27711.275390625,241176.90625,,40600.0,107000.0,,32782.9453125,102500.0,44500.0,124400.0,24907.689453125,,,,86900.0,72500.0,,26885.0,28113.91015625,659000.0,,368000.0,24900.0,6750.0,167500.0,68500.0,,,45700.0,40250.0,37550.0,,25400.0,,12250.0,12350.0,7830.0,,63250.0,,,,74100.0,8137.19189453125,,44500.0,,21034.77734375,240732.421875,72832.9296875,66600.0,,45000.0,157000.0,54706.5703125
2013-01-08,30000.0,26250.0,,,17200.0,210000.0,37612.046875,54500.0,38750.0,364000.0,40200.0,58099.19921875,,154000.0,325500.0,264500.0,,36900.0,96800.0,20600.0,215000.0,13224.6591796875,78400.0,3876.2841796875,57500.0,154731.78125,,131485.03125,30850.0,73498.1953125,79800.0,34803.640625,,,100500.0,37522.671875,,11950.0,378500.0,1474.0,,,106000.0,36300.0,165272.421875,27194.6875,242046.015625,,40700.0,106500.0,,32274.9453125,100000.0,42800.0,124300.0,25381.4765625,,,,84900.0,74000.0,,26600.0,27505.7890625,677000.0,,358000.0,24950.0,6730.0,167000.0,67800.0,,,46650.0,40150.0,37200.0,,26500.0,,12050.0,12200.0,7870.0,,62000.0,,,,72000.0,8088.11328125,,43400.0,,21249.41796875,241691.515625,73996.703125,68200.0,,43350.0,154500.0,54121.47265625
2013-01-09,30000.0,26050.0,,,17000.0,207500.0,37250.39453125,54400.0,38200.0,361000.0,40000.0,57241.19140625,,155000.0,324000.0,267000.0,,36500.0,97500.0,20500.0,211500.0,13157.8193359375,75900.0,3829.012451171875,56900.0,154731.78125,,130024.0859375,31650.0,73169.1015625,78400.0,34465.7421875,,,99300.0,37087.28515625,,11900.0,390000.0,1538.0,,,104500.0,36000.0,161957.5,27120.888671875,242915.125,,39200.0,106000.0,,32037.87890625,98400.0,43400.0,120900.0,25719.896484375,,,,83300.0,73500.0,,26500.0,27926.794921875,685000.0,,365000.0,24900.0,6720.0,164000.0,67600.0,,,46050.0,39600.0,37500.0,,26100.0,,12050.0,12300.0,7930.0,,61500.0,,,,71800.0,8088.11328125,,45150.0,,21517.71875,241211.96875,73220.8515625,67400.0,,43350.0,147500.0,53828.921875
2013-01-10,30600.0,26800.0,,,17280.0,209500.0,37250.39453125,54900.0,38250.0,360500.0,39700.0,56138.04296875,,154000.0,327500.0,266000.0,,36400.0,97300.0,20800.0,211000.0,13148.2705078125,75800.0,3890.465576171875,56600.0,156690.421875,,129731.8984375,32800.0,72840.0,80100.0,34578.375,,,98700.0,38551.77734375,,11900.0,387500.0,1542.0,,,104000.0,35550.0,161957.5,27637.478515625,248564.3125,,39750.0,106500.0,,32749.080078125,98500.0,43750.0,117500.0,25449.16015625,,,,84800.0,75800.0,,26735.0,27926.794921875,664000.0,,378500.0,25050.0,6700.0,163500.0,69500.0,,,46600.0,40700.0,37500.0,,26900.0,,12350.0,12500.0,7950.0,,61750.0,,,,71800.0,8029.21923828125,,43700.0,,22054.3203125,249364.265625,77003.125,68100.0,,43400.0,142000.0,54121.47265625
2013-01-11,30660.0,27100.0,,,17260.0,206000.0,37612.046875,53700.0,37850.0,359500.0,38900.0,56015.47265625,,150500.0,324000.0,258000.0,,36100.0,96100.0,20660.0,211000.0,13129.173828125,75100.0,3899.919921875,56700.0,155384.671875,,130608.46875,33650.0,71852.7109375,79100.0,34691.0078125,,,96800.0,37839.3203125,,11850.0,394000.0,1564.0,,,105500.0,35150.0,160063.265625,27120.888671875,246391.546875,,40200.0,105000.0,,32613.61328125,97600.0,43000.0,116900.0,25110.740234375,,,,82500.0,73400.0,,26585.0,27646.125,650000.0,,382000.0,25000.0,6710.0,160500.0,67900.0,,,46550.0,41000.0,36400.0,,27600.0,,11850.0,12000.0,7820.0,,61750.0,,,,72500.0,7832.90576171875,,44550.0,,21893.33984375,246966.53125,76421.234375,66000.0,,42400.0,142000.0,52561.21484375
2013-01-14,31040.0,26950.0,,,17120.0,209000.0,37395.0546875,53500.0,38800.0,362000.0,39250.0,58099.19921875,,149000.0,318500.0,253000.0,,36900.0,97900.0,20800.0,212500.0,13262.8525390625,75200.0,3881.01123046875,56200.0,153752.46875,,133238.171875,34850.0,71523.6171875,78600.0,36155.23828125,,,94500.0,38670.51953125,,11850.0,394500.0,1564.0,,,107000.0,36300.0,156748.34375,27932.671875,252475.28125,,40800.0,102750.0,,32207.212890625,97400.0,46000.0,118100.0,25652.2109375,,,,80000.0,73400.0,,26720.0,27038.00390625,653000.0,,381000.0,24500.0,6690.0,155000.0,65400.0,,,44750.0,40150.0,37100.0,,28100.0,,11850.0,12000.0,8200.0,,62750.0,,,,70500.0,7823.09033203125,,44950.0,,21625.0390625,241691.515625,79524.6328125,65600.0,,42600.0,147000.0,52853.76171875
2013-01-15,30240.0,25950.0,,,16900.0,209000.0,37250.39453125,53400.0,38200.0,358500.0,39350.0,57486.3359375,,148500.0,316000.0,255500.0,,37250.0,98800.0,20360.0,211000.0,13205.5615234375,73500.0,3970.82763671875,55500.0,149508.78125,,131485.03125,33450.0,70536.328125,81000.0,37168.9375,,,94400.0,37720.578125,,11750.0,393500.0,1544.0,,,107000.0,36200.0,154380.546875,27452.982421875,251171.625,,40200.0,102500.0,,31902.412109375,96800.0,45600.0,116400.0,24840.00390625,,,,77900.0,72900.0,,26445.0,26102.431640625,668000.0,,380500.0,24200.0,6640.0,153500.0,65400.0,,,45950.0,39900.0,36550.0,,27100.0,,11600.0,11700.0,8430.0,,62250.0,,,,69000.0,7852.537109375,,44000.0,,21034.77734375,240732.421875,77003.125,66000.0,,42600.0,141500.0,52561.21484375
